dteday,hr,holiday,workingday,temp,hum^2,windspeed,temp*windspeed,day_night,pct_registered_hourly,pct_registered_monthly,season_1,season_2,season_3,season_4,mnth_1,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weathersit_1,weathersit_2,weathersit_3,weathersit_4,dayInstant_afternoon,dayInstant_midday,dayInstant_morning,dayInstant_night
2011-01-01,0,0,0,0.24,0.6561000000000001,0.0,0.0,0,0.8163168826313831,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2011-01-01,1,0,0,0.22,0.6400000000000001,0.0,0.0,0,0.8018548480591745,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2011-01-01,2,0,0,0.22,0.6400000000000001,0.0,0.0,0,0.7990380385685414,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2011-01-01,3,0,0,0.24,0.5625,0.0,0.0,0,0.8173170279753528,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2011-01-01,4,0,0,0.24,0.5625,0.0,0.0,0,0.8342918234201965,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2011-01-01,5,0,0,0.24,0.5625,0.0896,0.021504,0,0.9090063926361744,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
2011-01-01,6,0,0,0.22,0.6400000000000001,0.0,0.0,0,0.9054121705685394,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
2011-01-01,7,0,0,0.2,0.7395999999999999,0.0,0.0,1,0.9052410889673276,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
2011-01-01,8,0,0,0.24,0.5625,0.0,0.0,1,0.8967975977869581,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
2011-01-01,9,0,0,0.32,0.5776,0.0,0.0,1,0.854061979877075,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
2011-01-01,10,0,0,0.38,0.5776,0.2537,0.0964059999999999,1,0.7610313538911803,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2011-01-01,11,0,0,0.36,0.6561000000000001,0.2836,0.102096,1,0.7484355684678509,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2011-01-01,12,0,0,0.42,0.5929,0.2836,0.119112,1,0.7706762783326729,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2011-01-01,13,0,0,0.46,0.5184,0.2985,0.13731,1,0.7616378079174793,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2011-01-01,14,0,0,0.46,0.5184,0.2836,0.130456,1,0.7343085608927046,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2011-01-01,15,0,0,0.44,0.5929,0.2985,0.1313399999999999,1,0.7443709615117798,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2011-01-01,16,0,0,0.42,0.6723999999999999,0.2985,0.1253699999999999,1,0.7915030545157116,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2011-01-01,17,0,0,0.44,0.6723999999999999,0.2836,0.124784,1,0.8218719530675913,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2011-01-01,18,0,0,0.42,0.7744,0.2537,0.1065539999999999,1,0.841917754177425,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2011-01-01,19,0,0,0.42,0.7744,0.2537,0.1065539999999999,1,0.8453556597500091,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2011-01-01,20,0,0,0.4,0.7569,0.2537,0.10148,1,0.8440735162678698,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
2011-01-01,21,0,0,0.4,0.7569,0.194,0.0776,1,0.8463485753419405,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
2011-01-01,22,0,0,0.4,0.8835999999999999,0.2239,0.08956,1,0.8437551432947441,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
2011-01-01,23,0,0,0.46,0.7744,0.2985,0.13731,1,0.8388922846577078,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
2011-01-02,0,0,0,0.46,0.7744,0.2985,0.13731,0,0.8163168826313831,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2011-01-02,1,0,0,0.44,0.8835999999999999,0.2537,0.1116279999999999,0,0.8018548480591745,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2011-01-02,2,0,0,0.42,1.0,0.2836,0.119112,0,0.7990380385685414,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2011-01-02,3,0,0,0.46,0.8835999999999999,0.194,0.08924,0,0.8173170279753528,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2011-01-02,4,0,0,0.46,0.8835999999999999,0.194,0.08924,0,0.8342918234201965,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2011-01-02,6,0,0,0.42,0.5929,0.2985,0.1253699999999999,0,0.9054121705685394,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2011-01-02,7,0,0,0.4,0.5776,0.194,0.0776,1,0.9052410889673276,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2011-01-02,8,0,0,0.4,0.5041,0.2239,0.08956,1,0.8967975977869581,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2011-01-02,9,0,0,0.38,0.5776,0.2239,0.0850819999999999,1,0.854061979877075,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2011-01-02,10,0,0,0.36,0.6561000000000001,0.2239,0.080604,1,0.7610313538911803,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2011-01-02,11,0,0,0.36,0.5041,0.2537,0.091332,1,0.7484355684678509,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2011-01-02,12,0,0,0.36,0.4356,0.2985,0.1074599999999999,1,0.7706762783326729,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2011-01-02,13,0,0,0.36,0.4356,0.1343,0.048348,1,0.7616378079174793,0.9127134955483888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
