dteday,instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,windspeed,casual,registered,cnt,day,dayInstant,pct_registered,pct_registered_hourly,pct_registered_monthly,day_night,temp*windspeed,hum^2
2011-01-01,1,1,0,1,0,0,6,0,1,0.24,0.0,3,13,16,1,night,0.8125,0.8163168826313831,0.9127134955483888,0,0.0,0.6561000000000001
2011-01-01,2,1,0,1,1,0,6,0,1,0.22,0.0,8,32,40,1,night,0.8,0.8018548480591745,0.9127134955483888,0,0.0,0.6400000000000001
2011-01-01,3,1,0,1,2,0,6,0,1,0.22,0.0,5,27,32,1,night,0.84375,0.7990380385685414,0.9127134955483888,0,0.0,0.6400000000000001
2011-01-01,4,1,0,1,3,0,6,0,1,0.24,0.0,3,10,13,1,night,0.7692307692307693,0.8173170279753528,0.9127134955483888,0,0.0,0.5625
2011-01-01,5,1,0,1,4,0,6,0,1,0.24,0.0,0,1,1,1,night,1.0,0.8342918234201965,0.9127134955483888,0,0.0,0.5625
2011-01-01,6,1,0,1,5,0,6,0,2,0.24,0.0896,0,1,1,1,night,1.0,0.9090063926361744,0.9127134955483888,0,0.021504,0.5625
2011-01-01,7,1,0,1,6,0,6,0,1,0.22,0.0,2,0,2,1,morning,0.0,0.9054121705685394,0.9127134955483888,0,0.0,0.6400000000000001
2011-01-01,8,1,0,1,7,0,6,0,1,0.2,0.0,1,2,3,1,morning,0.6666666666666666,0.9052410889673277,0.9127134955483888,1,0.0,0.7395999999999999
2011-01-01,9,1,0,1,8,0,6,0,1,0.24,0.0,1,7,8,1,morning,0.875,0.8967975977869581,0.9127134955483888,1,0.0,0.5625
2011-01-01,10,1,0,1,9,0,6,0,1,0.32,0.0,8,6,14,1,morning,0.42857142857142855,0.854061979877075,0.9127134955483888,1,0.0,0.5776
2011-01-01,11,1,0,1,10,0,6,0,1,0.38,0.2537,12,24,36,1,midday,0.6666666666666666,0.7610313538911803,0.9127134955483888,1,0.09640599999999999,0.5776
2011-01-01,12,1,0,1,11,0,6,0,1,0.36,0.2836,26,30,56,1,midday,0.5357142857142857,0.7484355684678509,0.9127134955483888,1,0.102096,0.6561000000000001
2011-01-01,13,1,0,1,12,0,6,0,1,0.42,0.2836,29,55,84,1,midday,0.6547619047619048,0.7706762783326729,0.9127134955483888,1,0.11911200000000001,0.5929
2011-01-01,14,1,0,1,13,0,6,0,2,0.46,0.2985,47,47,94,1,midday,0.5,0.7616378079174793,0.9127134955483888,1,0.13731,0.5184
2011-01-01,15,1,0,1,14,0,6,0,2,0.46,0.2836,35,71,106,1,midday,0.6698113207547169,0.7343085608927046,0.9127134955483888,1,0.13045600000000002,0.5184
2011-01-01,16,1,0,1,15,0,6,0,2,0.44,0.2985,40,70,110,1,midday,0.6363636363636364,0.7443709615117798,0.9127134955483888,1,0.13133999999999998,0.5929
2011-01-01,17,1,0,1,16,0,6,0,2,0.42,0.2985,41,52,93,1,midday,0.5591397849462365,0.7915030545157116,0.9127134955483888,1,0.12536999999999998,0.6723999999999999
2011-01-01,18,1,0,1,17,0,6,0,2,0.44,0.2836,15,52,67,1,midday,0.7761194029850746,0.8218719530675913,0.9127134955483888,1,0.124784,0.6723999999999999
2011-01-01,19,1,0,1,18,0,6,0,3,0.42,0.2537,9,26,35,1,afternoon,0.7428571428571429,0.841917754177425,0.9127134955483888,1,0.10655399999999998,0.7744
2011-01-01,20,1,0,1,19,0,6,0,3,0.42,0.2537,6,31,37,1,afternoon,0.8378378378378378,0.8453556597500091,0.9127134955483888,1,0.10655399999999998,0.7744
2011-01-01,21,1,0,1,20,0,6,0,2,0.4,0.2537,11,25,36,1,afternoon,0.6944444444444444,0.8440735162678698,0.9127134955483888,1,0.10148,0.7569
2011-01-01,22,1,0,1,21,0,6,0,2,0.4,0.194,3,31,34,1,afternoon,0.9117647058823529,0.8463485753419405,0.9127134955483888,1,0.0776,0.7569
2011-01-01,23,1,0,1,22,0,6,0,2,0.4,0.2239,11,17,28,1,night,0.6071428571428571,0.8437551432947441,0.9127134955483888,1,0.08956,0.8835999999999999
2011-01-01,24,1,0,1,23,0,6,0,2,0.46,0.2985,15,24,39,1,night,0.6153846153846154,0.8388922846577078,0.9127134955483888,1,0.13731,0.7744
2011-01-02,25,1,0,1,0,0,0,0,2,0.46,0.2985,4,13,17,2,night,0.7647058823529411,0.8163168826313831,0.9127134955483888,0,0.13731,0.7744
2011-01-02,26,1,0,1,1,0,0,0,2,0.44,0.2537,1,16,17,2,night,0.9411764705882353,0.8018548480591745,0.9127134955483888,0,0.11162799999999999,0.8835999999999999
2011-01-02,27,1,0,1,2,0,0,0,2,0.42,0.2836,1,8,9,2,night,0.8888888888888888,0.7990380385685414,0.9127134955483888,0,0.11911200000000001,1.0
2011-01-02,28,1,0,1,3,0,0,0,2,0.46,0.194,2,4,6,2,night,0.6666666666666666,0.8173170279753528,0.9127134955483888,0,0.08924,0.8835999999999999
2011-01-02,29,1,0,1,4,0,0,0,2,0.46,0.194,2,1,3,2,night,0.3333333333333333,0.8342918234201965,0.9127134955483888,0,0.08924,0.8835999999999999
2011-01-02,30,1,0,1,6,0,0,0,3,0.42,0.2985,0,2,2,2,morning,1.0,0.9054121705685394,0.9127134955483888,0,0.12536999999999998,0.5929
2011-01-02,31,1,0,1,7,0,0,0,2,0.4,0.194,0,1,1,2,morning,1.0,0.9052410889673277,0.9127134955483888,1,0.0776,0.5776
2011-01-02,32,1,0,1,8,0,0,0,3,0.4,0.2239,0,8,8,2,morning,1.0,0.8967975977869581,0.9127134955483888,1,0.08956,0.5041
2011-01-02,33,1,0,1,9,0,0,0,2,0.38,0.2239,1,19,20,2,morning,0.95,0.854061979877075,0.9127134955483888,1,0.08508199999999999,0.5776
2011-01-02,34,1,0,1,10,0,0,0,2,0.36,0.2239,7,46,53,2,midday,0.8679245283018868,0.7610313538911803,0.9127134955483888,1,0.080604,0.6561000000000001
2011-01-02,35,1,0,1,11,0,0,0,2,0.36,0.2537,16,54,70,2,midday,0.7714285714285715,0.7484355684678509,0.9127134955483888,1,0.091332,0.5041
2011-01-02,36,1,0,1,12,0,0,0,2,0.36,0.2985,20,73,93,2,midday,0.7849462365591398,0.7706762783326729,0.9127134955483888,1,0.10745999999999999,0.43560000000000004
2011-01-02,37,1,0,1,13,0,0,0,2,0.36,0.1343,11,64,75,2,midday,0.8533333333333334,0.7616378079174793,0.9127134955483888,1,0.048348,0.43560000000000004
2011-01-02,38,1,0,1,14,0,0,0,3,0.36,0.194,4,55,59,2,midday,0.9322033898305084,0.7343085608927046,0.9127134955483888,1,0.06984,0.5776
2011-01-02,39,1,0,1,15,0,0,0,3,0.34,0.1642,19,55,74,2,midday,0.7432432432432432,0.7443709615117798,0.9127134955483888,1,0.05582800000000001,0.6561000000000001
2011-01-02,40,1,0,1,16,0,0,0,3,0.34,0.1642,9,67,76,2,midday,0.881578947368421,0.7915030545157116,0.9127134955483888,1,0.05582800000000001,0.5041
2011-01-02,41,1,0,1,17,0,0,0,1,0.34,0.194,7,58,65,2,midday,0.8923076923076924,0.8218719530675913,0.9127134955483888,1,0.06596,0.32489999999999997
2011-01-02,42,1,0,1,18,0,0,0,2,0.36,0.3284,10,43,53,2,afternoon,0.8113207547169812,0.841917754177425,0.9127134955483888,1,0.11822400000000001,0.2116
2011-01-02,43,1,0,1,19,0,0,0,1,0.32,0.4478,1,29,30,2,afternoon,0.9666666666666667,0.8453556597500091,0.9127134955483888,1,0.143296,0.17639999999999997
2011-01-02,44,1,0,1,20,0,0,0,1,0.3,0.3582,5,17,22,2,afternoon,0.7727272727272727,0.8440735162678698,0.9127134955483888,1,0.10746,0.1521
2011-01-02,45,1,0,1,21,0,0,0,1,0.26,0.3284,11,20,31,2,afternoon,0.6451612903225806,0.8463485753419405,0.9127134955483888,1,0.08538400000000002,0.1936
2011-01-02,46,1,0,1,22,0,0,0,1,0.24,0.2985,0,9,9,2,night,1.0,0.8437551432947441,0.9127134955483888,1,0.07164,0.1936
